Comment Text
"Kalo mau bersaudara, yah jangan bikin bikin front front an."
ngeles kayak bajaj
Satu kata: TAQIYA...!!!😁😁
Preman dan bandit emang bisa berubah berubah begitu saja. Kenaoa tak adq demo terhadap Calon KAPOLRI? Lu takut ya
Pura pura tobat biar gak dibubarin..sueee
Mau berbohong lagi neh 
Gue kagak percaya deh!
Wajah MUNA(rman)
Kitorang samua basodara..... tetap ngotot
Harus tetap waspada. Sulit dipercaya. Dia dgn enteng mengatakan tidak pernah bersenjata...nyatanya....???
jangan kasih kesempatan di bumi Indonesia
mana ada yg percaya sama ELO....tukang FITNAH
"Kacau kacauuu, pusing pusinggg, saudara lanjut jangan??? "
Preeet Man .... ! Ketika kamu mulai terjepit ngomongmu sok NKRI.
"Bubarin lagi. Awalnya mungkin kalem dan jinak, lama2 jd ganas seperti kanker. "
Dah basi. Kalau isinya dia2 juga tetap aja nama aslinya tuh Front Pembohong Indonesia
Tukang bohong mau dipercaya???? Lebih baik ditangkap aja si muka tembok ini..... 
Ayo buzzerp cebi ...seraaang munarman 
Mantete Pindah loe ke Yaman...!!!
"posisi FPI sudah terjepit , tinggal diinjak"
"jejak digital gak bisa dibohongi coy, ente mau bohong apapun percuma, fakta yg ada sudah diketahui oleh umum."
Hahahahahaha takuuuutttttt.... diawasi aja.trik teroris baik2 dimuka bermain dibelakang
Preeetttt.....cuiihhh...cuuuiiihhh...!!!!!
B3r4k aja lo man...giliran di kencengin lo ciut..ah s4mp4h 
Apa bisa disebut Tukang bohong.. Apa yg diomongkan sama bukti vidio yg mendukung isis dan lainnya kok beda.
Ngibul terus man man....angel wis angel 😁
Bujuk bin bokis bin bohong bin ngapusi bin ndabrus tok. DON'T TRUST THIS MN!!!
"mulai propaganda. nanti 10-20 tahun, bikin rusuh lagi."
aku kok angeeel tenan percoyo karo wong iki to?? piye iki. aku kliru po ora to??
"Budi Waloyo Ora, pancen wong iki nggateli "
Andre 😆😆😆
Tumben😂
mulutmu bau man...
wahahahaa uda diblokir baru lembek. jejak digital semua ada....jalan berlutut dulu minta maaf sama orang tua yg lu siram mukanya di acara tv
Masyarakat gak akan peduli mun. Kalo pemimpinnya udah bohong sambil bilang revolusi akhlak masa masih dipercaya. Kata cak lontong disuruh Mikir!!
Suka kau saja muna mau bicara apa. Intiny kalian mau ganti nama apa atau buat baru.. masyarakat tidak suka sama kalian... ngerti nga...
"Jangan percaya omongan si Munarman,itu hanya omong kosong"
Ha ha ha.... Ternyata...
"Dukung ISIS dan Al Qaeda, bersaudara???????🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣"
Seribu perkataan kalau tidak dilakukan lebih berguna 1 perkataan tetapi dilakukan
Ngeles aja.. Kayak bajaj si munarman
Mental Munarman harus diperbaiki dahulu. Baru bisa dipercaya
Trs guyur orang tua krn tangannya licin ya pak?
hati2 kalau sdh kepepet biasanya cari simpati dulu. 
Ciuuusss nih ?
Pembohong kok dipercaya? 
"Jangan percaya omongan Munarman, penuh pendusta dan pembohong"
"Front Pembohong Indonesia, apa ada yg mau percaya?? Skg koar2 dlm bingkai NKRI, kemarin laksana harimau koq jd kucing 🤣🤣"
Ular ganti kulit
"Komitmen untuk beda ucapan dan tindakan selama bertahun-tahun ..... sekarang dan selamanya .... inilah penghambat ""Indonesia terus maju ""."
Seharusnya lebi cepat dibubarkan sblm terjadi lg spt fpi
Front Pendusta Indonesia.. Makin keliatan bohongnya.. 
"susah kalo udh kebiasaan ngibul mah,"
